iter	Passed	Remaining
0	161	64448
1	174	34692
2	188	24985
3	204	20230
4	218	17280
5	232	15239
6	244	13738
7	258	12661
8	270	11746
9	285	11131
10	297	10533
11	310	10036112	324	9646113	337	931514	348	8942
15	362	8711
16	377	8508
17	391	8300
18	406	8146
19	418	7952
20	433	7822
21	449	7728
22	465	7631
23	481	7539
24	495	7425
25	508	7315
26	523	7236
27	537	7136
28	550	7041
29	564	6965
30	579	6897
31	594	6838
32	608	6762
33	622	6702
34	636	6637
35	650	6580
36	663	6511
37	679	6476
38	693	6416
39	707	6368
40	722	6330
41	737	6286
42	750	6232
43	763	6175
44	777	6131
45	788	6071
46	801	6023
47	816	5984
48	828	5937
49	842	5895
50	853	5840
51	868	5811
52	881	5774
53	893	5726
54	908	5698
55	920	5657
56	934	5625
57	948	5595
58	962	5560
59	976	5531
60	988	5493
61	1003	5470
62	1016	5437
63	1032	5420
64	1046	5394
65	1065	5393
66	1079	5366
67	1090	5322
68	1105	5301
69	1117	5269
70	1136	5264
71	1149	5238
72	1163	5211
73	1173	5171
74	1184	5133
75	1198	5108
76	1212	5087
77	1223	5051
78	1238	5034
79	1252	5011
80	1264	4981
81	1277	4954
82	1294	4943
83	1307	4919
84	1321	4895
85	1331	4861
86	1345	4840
87	1357	4813
88	1371	4791
89	1382	4762
90	1392	4726
91	1405	4705
92	1417	4680
93	1432	4662
94	1446	4645
95	1460	4623
96	1473	4602
97	1486	4581
98	1498	4557
99	1510	4532
100	1520	4501
101	1532	4476
102	1546	4458
103	1565	4454
104	1576	4428
105	1590	4411
106	1600	4383
107	1614	4363
108	1628	4348
109	1641	4326
110	1652	4302
111	1663	4278
112	1676	4257
113	1690	4240
114	1702	4220
115	1713	4194
116	1725	4173
117	1737	4153
118	1751	4134
119	1763	4113
120	1777	4097
121	1790	4080
122	1803	4061
123	1815	4040
124	1826	4019
125	1840	4002
126	1855	3989
127	1868	3970
128	1880	3950
129	1895	3937
130	1910	3922
131	1919	3897
132	1933	3882
133	1945	3862
134	1959	3846
135	1973	3830
136	1986	3814
137	1997	3793
138	2009	3772
139	2022	3755
140	2034	3737
141	2047	3720
142	2059	3701
143	2071	3682
144	2085	3667
145	2098	3650
146	2109	3631
147	2122	3614
148	2136	3599
149	2148	3580
150	2162	3565
151	2174	3548
152	2186	3529
153	2197	3510
154	2212	3496
155	2225	3481
156	2234	3459
157	2250	3446
158	2263	3431
159	2278	3417
160	2291	3401
161	2304	3385
162	2315	3367
163	2326	3347
164	2338	3330
165	2347	3309
166	2362	3295
167	2377	3282
168	2388	3264
169	2403	3252
170	2417	3237
171	2430	3221
172	2441	3203
173	2456	3190
174	2470	3176
175	2482	3159
176	2496	3145
177	2511	3131
178	2524	3116
179	2538	3102
180	2550	3085
181	2562	3069
182	2575	3054
183	2590	3040
184	2603	3025
185	2615	3008
186	2628	2994
187	2641	2978
188	2651	2960
189	2663	2944
190	2677	2930
191	2691	2916
192	2702	2898
193	2719	2887
194	2731	2871
195	2744	2856
196	2757	2841
197	2771	2827
198	2784	2812
199	2795	2795
200	2807	2779
201	2818	2762
202	2833	2750
203	2848	2736
204	2859	2720
205	2874	2706
206	2886	2691
207	2898	2675
208	2912	2661
209	2922	2644
210	2936	2630
211	2948	2614
212	2963	2602
213	2977	2588
214	2993	2575
215	3006	2561
216	3018	2545
217	3032	2532
218	3045	2517
219	3059	2503
220	3072	2488
221	3082	2471
222	3094	2455
223	3105	2439
224	3116	2423
225	3126	2407
226	3141	2394
227	3155	2380
228	3167	2365
229	3178	2349
230	3193	2336
231	3208	2323
232	3222	2309
233	3241	2299
234	3257	2287
235	3271	2273
236	3284	2258
237	3299	2245
238	3310	2229
239	3324	2216
240	3337	2201
241	3349	2186
242	3362	2172
243	3374	2157
244	3390	2144
245	3404	2131
246	3420	2118
247	3431	2103
248	3444	2089
249	3454	2072
250	3467	2058
251	3481	2044
252	3497	2031
253	3508	2016
254	3521	2002
255	3533	1987
256	3546	1973
257	3558	1958
258	3572	1945
259	3584	1930
260	3597	1915
261	3607	1899
262	3618	1885
263	3629	1869
264	3641	1854
265	3653	1840
266	3667	1826
267	3679	1812
268	3693	1798
269	3703	1782
270	3716	1769
271	3727	1754
272	3736	1738
273	3748	1723
274	3763	1710
275	3777	1697
276	3790	1683
277	3803	1669
278	3814	1654
279	3826	1639
280	3840	1626
281	3853	1612
282	3869	1599
283	3880	1585
284	3894	1571
285	3908	1557
286	3921	1543
287	3934	1530
288	3945	1515
289	3958	1501
290	3971	1487
291	3984	1473
292	3999	1460
293	4011	1446
294	4026	1433
295	4037	1418
296	4052	1405
297	4064	1391
298	4077	1377
299	4088	1362
300	4103	1349
301	4116	1335
302	4132	1322
303	4145	1309
304	4159	1295
305	4171	1281
306	4186	1268
307	4198	1254
308	4210	1239
309	4223	1226
310	4236	1212
311	4249	1198
312	4266	1185
313	4279	1172
314	4291	1158
315	4303	1144
316	4316	1130
317	4328	1116
318	4340	1102
319	4352	1088
320	4372	1076
321	4384	1062
322	4394	1047
323	4409	1034
324	4422	1020
325	4434	1006
326	4448	993
327	4462	979
328	4474	965
329	4486	951
330	4501	938
331	4512	924
332	4524	910
333	4540	897
334	4548	882
335	4563	869
336	4573	854
337	4585	841
338	4598	827
339	4611	813
340	4623	800
341	4635	786
342	4649	772
343	4662	759
344	4674	745
345	4686	731
346	4701	718
347	4713	704
348	4727	690
349	4740	677
350	4752	663
351	4766	649
352	4779	636
353	4790	622
354	4802	608
355	4816	595
356	4828	581
357	4841	567
358	4856	554
359	4870	541
360	4884	527
361	4895	513
362	4906	500
363	4920	486
364	4933	473
365	4948	459
366	4960	446
367	4975	432
368	4988	419
369	5001	405
370	5015	392
371	5027	378
372	5042	364
373	5056	351
374	5067	337
375	5079	324
376	5090	310
377	5101	296
378	5111	283
379	5124	269
380	5137	256
381	5150	242
382	5165	229
383	5180	215
384	5192	202
385	5204	188
386	5219	175
387	5231	161
388	5246	148
389	5260	134
390	5273	121
391	5286	107
392	5298	94
393	5307	80
394	5317	67
395	5333	53
396	5342	40
397	5350	26
398	5356	13
399	5361	0
