OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.0,0.0,27.76,60.14,1
0.14,0.14,27.61,60.28,1
0.082,-0.058,27.72,60.45,0
0.2006,0.1186,27.72,60.62,0
0.2989,0.0983,27.5,60.77,1
0.3441,0.0452,27.36,60.91,1
0.3843,0.0403,27.28,61.05,1
0.4106,0.0262,27.18,61.19,1
0.4725,0.0619,26.77,61.29,2
0.4681,-0.0044,26.3,61.39,2
0.5179,0.0498,25.9,61.48,2
0.4802,-0.0377,25.56,61.58,2
0.52,0.0397,25.36,61.67,2
0.3627,-0.1572,25.41,61.8,1
0.3988,0.036,25.48,61.92,1
0.4611,0.0624,25.26,62.01,2
0.4876,0.0265,25.03,62.09,2
0.5071,0.0195,24.75,62.17,2
0.5281,0.0209,24.48,62.26,2
0.5424,0.0144,24.41,62.34,2
0.5082,-0.0342,24.19,62.42,2
0.4867,-0.0215,23.94,62.49,2
0.483,-0.0038,23.81,62.57,2
0.5008,0.0178,23.68,62.64,2
0.5261,0.0253,23.59,62.72,2
0.5298,0.0038,23.53,62.79,2
0.5392,0.0093,23.43,62.86,2
0.5746,0.0355,23.34,62.93,2
0.5844,0.0098,23.27,63.0,2
0.5828,-0.0017,23.24,63.07,2
0.5726,-0.0102,23.23,63.14,2
0.5467,-0.0259,23.19,63.2,2
0.5548,0.0081,23.15,63.27,2
0.5993,0.0444,23.17,63.33,2
0.6238,0.0246,23.08,63.39,2
0.6186,-0.0052,23.15,63.46,2
0.5735,-0.0451,23.07,63.52,2
0.5836,0.0101,23.04,63.58,2
0.5489,-0.0348,22.95,63.63,2
0.5113,-0.0376,22.98,63.68,2
0.5007,-0.0106,22.84,63.74,2
0.4869,-0.0138,22.84,63.79,2
0.5163,0.0294,22.79,63.84,2
0.55,0.0338,22.79,63.89,2
0.5865,0.0364,22.8,63.94,2
0.5601,-0.0264,22.74,63.99,2
0.579,0.0189,22.79,64.04,2
0.6247,0.0457,22.8,64.09,2
0.588,-0.0367,22.68,64.13,2
0.5752,-0.0129,22.64,64.18,2
0.5672,-0.008,22.67,64.23,2
0.5464,-0.0207,22.69,64.27,2
0.5574,0.011,22.82,64.31,2
0.5777,0.0203,22.81,64.35,2
0.603,0.0253,22.8,64.4,2
0.5951,-0.0079,22.77,64.44,2
0.6302,0.0351,22.86,64.48,2
0.6072,-0.023,22.91,64.52,2
0.6005,-0.0067,22.94,64.56,2
0.635,0.0345,23.0,64.6,2
0.648,0.013,23.0,64.64,2
0.5887,-0.0593,23.01,64.68,2
0.6254,0.0367,23.12,64.72,2
0.6356,0.0102,23.11,64.75,2
0.647,0.0114,23.11,64.79,2
0.6311,-0.0159,23.18,64.83,2
0.6037,-0.0273,23.02,64.86,2
0.6319,0.0282,23.08,64.9,2
0.631,-0.0009,23.07,64.93,2
0.6278,-0.0032,23.04,64.96,2
0.6455,0.0177,23.06,64.99,2
0.6022,-0.0433,23.02,65.02,2
0.6052,0.003,22.9,65.05,2
0.5948,-0.0104,22.9,65.08,2
0.6173,0.0225,22.84,65.11,2
0.6038,-0.0135,22.8,65.14,2
0.5842,-0.0196,22.92,65.17,2
0.5575,-0.0267,22.92,65.19,2
0.5739,0.0164,22.92,65.22,2
0.5286,-0.0453,22.89,65.24,2
0.5706,0.042,22.87,65.26,2
0.5894,0.0188,22.91,65.29,2
0.6112,0.0218,22.9,65.31,2
0.5626,-0.0486,22.89,65.33,2
0.5402,-0.0224,22.86,65.35,2
0.5896,0.0494,22.77,65.38,2
0.6125,0.0228,22.77,65.4,2
0.6302,0.0178,22.76,65.42,2
0.5901,-0.0401,22.71,65.44,2
0.5374,-0.0527,22.66,65.46,2
0.5214,-0.016,22.64,65.48,2
0.5574,0.036,22.71,65.5,2
0.6115,0.054,22.66,65.52,2
0.5869,-0.0246,22.6,65.54,2
0.5699,-0.017,22.66,65.55,2
0.5825,0.0126,22.58,65.57,2
0.4186,-0.1639,22.84,65.62,1
0.4788,0.0601,23.09,65.67,1
0.5543,0.0755,23.11,65.69,2
0.6116,0.0574,23.1,65.7,2
0.6301,0.0185,23.07,65.72,2
0.6229,-0.0072,22.98,65.74,2
0.621,-0.0019,22.99,65.75,2
0.628,0.007,22.97,65.77,2
0.5965,-0.0315,22.87,65.79,2
0.5919,-0.0046,22.85,65.8,2
0.5823,-0.0096,22.86,65.81,2
0.6316,0.0493,22.78,65.83,2
0.6097,-0.0219,22.84,65.84,2
0.6043,-0.0055,22.78,65.86,2
0.616,0.0117,22.75,65.87,2
0.5923,-0.0237,22.74,65.88,2
0.6046,0.0123,22.76,65.89,2
0.588,-0.0167,22.75,65.91,2
0.5722,-0.0158,22.7,65.92,2
0.5856,0.0134,22.67,65.93,2
0.6079,0.0223,22.77,65.94,2
0.6396,0.0317,22.75,65.95,2
0.6686,0.029,22.83,65.97,2
0.6201,-0.0485,22.81,65.98,2
0.6525,0.0324,22.84,65.99,2
0.6501,-0.0024,22.91,66.0,2
0.6864,0.0363,22.98,66.02,2
0.7119,0.0255,22.99,66.03,2
0.6789,-0.033,22.93,66.05,2
0.6665,-0.0124,22.93,66.06,2
0.6781,0.0116,22.97,66.07,2
0.6971,0.019,23.0,66.08,2
0.7063,0.0092,23.09,66.1,2
0.674,-0.0323,23.06,66.11,2
0.6663,-0.0077,23.04,66.12,2
0.6573,-0.009,23.04,66.13,2
0.6546,-0.0027,22.99,66.14,2
0.6789,0.0243,22.97,66.15,2
0.6915,0.0126,22.94,66.16,2
0.7021,0.0106,23.0,66.18,2
0.6587,-0.0434,22.94,66.19,2
0.6254,-0.0333,22.99,66.19,2
0.6131,-0.0123,22.97,66.2,2
0.6146,0.0015,22.86,66.21,2
0.6098,-0.0048,22.75,66.21,2
0.6285,0.0186,22.7,66.22,2
0.6202,-0.0083,22.73,66.23,2
0.6057,-0.0145,22.67,66.23,2
0.5988,-0.0068,22.71,66.24,2
0.6096,0.0108,22.67,66.24,2
0.5839,-0.0257,22.66,66.25,2
0.6119,0.028,22.66,66.25,2
0.6407,0.0288,22.72,66.26,2
0.6514,0.0107,22.75,66.27,2
0.666,0.0146,22.77,66.28,2
0.6671,0.0011,22.74,66.28,2
0.6377,-0.0294,22.74,66.29,2
0.6443,0.0066,22.79,66.3,2
0.6651,0.0208,22.84,66.3,2
0.6984,0.0333,22.92,66.31,2
0.6984,-0.0,22.9,66.32,2
0.6549,-0.0434,22.93,66.33,2
0.6207,-0.0343,22.89,66.33,2
0.6431,0.0224,22.91,66.34,2
0.6682,0.0252,22.87,66.34,2
0.6327,-0.0355,22.86,66.35,2
0.6496,0.0169,22.93,66.35,2
0.7001,0.0504,22.96,66.36,2
0.671,-0.0291,23.01,66.37,2
0.6796,0.0086,22.98,66.38,2
0.6684,-0.0112,22.95,66.38,2
0.6604,-0.008,22.91,66.39,2
0.641,-0.0194,22.83,66.39,2
0.4664,-0.1746,22.75,66.39,2
0.4828,0.0164,22.64,66.38,2
0.5238,0.0409,22.68,66.38,2
0.5355,0.0118,22.74,66.38,2
0.5232,-0.0123,22.69,66.38,2
0.5772,0.054,22.68,66.38,2
0.5836,0.0064,22.64,66.38,2
0.6277,0.0441,22.7,66.39,2
0.6029,-0.0248,22.66,66.39,2
0.6038,0.0009,22.67,66.39,2
0.6289,0.0251,22.63,66.39,2
0.6622,0.0333,22.63,66.4,2
0.6725,0.0102,22.7,66.4,2
0.682,0.0096,22.73,66.41,2
0.6962,0.0142,22.82,66.42,2
0.7163,0.0201,22.85,66.43,2
0.7291,0.0128,22.88,66.43,2
0.7236,-0.0055,22.81,66.44,2
0.6761,-0.0475,22.77,66.45,2
0.6502,-0.0259,22.85,66.45,2
0.6638,0.0136,22.81,66.45,2
0.7129,0.0491,22.79,66.46,2
0.6606,-0.0523,22.68,66.46,2
0.6625,0.0019,22.75,66.47,2
0.6852,0.0226,22.87,66.47,2
0.7074,0.0223,22.8,66.48,2
0.6548,-0.0527,22.77,66.48,2
0.6283,-0.0265,22.81,66.48,2
0.6498,0.0215,22.9,66.49,2
0.6159,-0.0339,22.86,66.49,2
0.6183,0.0024,22.85,66.49,2
0.6296,0.0113,22.85,66.49,2
0.6509,0.0214,22.77,66.49,2
0.6569,0.006,22.83,66.5,2
0.6697,0.0127,22.75,66.5,2
0.6899,0.0203,22.69,66.5,2
0.7311,0.0412,22.79,66.51,2
0.7431,0.0119,22.86,66.52,2
0.7133,-0.0297,22.93,66.52,2
0.7267,0.0133,22.97,66.53,2
0.7324,0.0058,22.88,66.53,2
0.7342,0.0018,22.91,66.54,2
0.7469,0.0127,22.85,66.55,2
0.7328,-0.0141,22.89,66.55,2
0.7321,-0.0008,22.89,66.56,2
0.7164,-0.0157,22.87,66.56,2
0.6711,-0.0453,22.9,66.57,2
0.6683,-0.0028,22.83,66.57,2
0.676,0.0077,22.85,66.57,2
0.7015,0.0255,22.91,66.57,2
0.7032,0.0017,22.9,66.58,2
0.6692,-0.0339,22.95,66.58,2
0.6821,0.0129,23.04,66.58,2
0.6871,0.005,23.01,66.58,2
0.6865,-0.0005,22.93,66.59,2
0.7185,0.0319,22.92,66.59,2
0.7399,0.0214,22.85,66.6,2
0.763,0.0232,22.84,66.6,2
0.7326,-0.0305,22.77,66.61,2
0.7158,-0.0168,22.81,66.61,2
0.7011,-0.0147,22.86,66.61,2
0.687,-0.0142,22.81,66.62,2
0.6972,0.0102,22.84,66.62,2
0.7181,0.0208,22.86,66.62,2
0.7332,0.0151,22.91,66.63,2
0.7546,0.0214,22.89,66.63,2
0.7634,0.0088,22.93,66.64,2
0.7292,-0.0342,23.0,66.64,2
0.742,0.0128,22.94,66.64,2
0.739,-0.003,22.96,66.65,2
0.7497,0.0108,23.09,66.65,2
0.7814,0.0316,22.97,66.66,2
0.7755,-0.0059,22.99,66.66,2
0.7279,-0.0477,22.98,66.67,2
0.7155,-0.0124,23.0,66.67,2
0.7344,0.0189,23.07,66.67,2
0.7295,-0.005,23.07,66.68,2
0.68,-0.0495,23.03,66.68,2
0.6819,0.002,23.04,66.68,2
0.641,-0.041,23.05,66.68,2
0.6511,0.0101,23.07,66.68,2
0.6535,0.0024,23.09,66.67,2
0.6904,0.0369,23.06,66.68,2
0.6682,-0.0222,22.97,66.68,2
0.6484,-0.0198,22.87,66.67,2
0.6786,0.0302,22.9,66.67,2
0.6709,-0.0077,22.8,66.67,2
0.6923,0.0214,22.82,66.68,2
0.7158,0.0235,22.82,66.68,2
0.7414,0.0256,22.88,66.68,2
0.7295,-0.0119,22.86,66.68,2
0.74,0.0104,22.88,66.69,2
0.6925,-0.0475,22.9,66.69,2
0.7134,0.0209,22.98,66.69,2
0.6748,-0.0386,22.94,66.69,2
0.6843,0.0094,22.98,66.69,2
0.7096,0.0253,22.94,66.69,2
0.7271,0.0175,22.85,66.7,2
0.7227,-0.0044,22.86,66.7,2
0.7359,0.0132,22.86,66.7,2
0.7385,0.0026,22.87,66.7,2
0.7574,0.0189,22.99,66.71,2
0.7246,-0.0329,22.99,66.71,2
0.7384,0.0138,22.99,66.71,2
0.7337,-0.0047,22.98,66.71,2
0.7423,0.0086,23.02,66.72,2
0.7075,-0.0348,23.0,66.72,2
0.7023,-0.0052,23.0,66.72,2
0.7193,0.017,23.05,66.72,2
0.7153,-0.0041,23.08,66.72,2
0.6944,-0.0209,23.08,66.72,2
0.6809,-0.0134,23.08,66.72,2
0.6827,0.0018,22.98,66.72,2
0.6996,0.0169,22.9,66.72,2
0.7185,0.019,22.99,66.72,2
0.702,-0.0165,22.95,66.72,2
0.7169,0.0149,23.01,66.73,2
0.7474,0.0305,22.98,66.73,2
0.7581,0.0107,23.01,66.73,2
0.7472,-0.011,23.1,66.73,2
0.7298,-0.0173,23.05,66.74,2
0.7185,-0.0114,23.13,66.74,2
0.7198,0.0014,23.06,66.74,2
0.6896,-0.0302,22.98,66.74,2
0.6815,-0.0082,22.96,66.74,2
0.6802,-0.0012,22.93,66.74,2
0.6551,-0.0251,22.79,66.73,2
0.6267,-0.0285,22.86,66.73,2
0.6257,-0.001,22.83,66.73,2
0.6571,0.0315,22.85,66.73,2
0.6951,0.038,22.88,66.73,2
0.7099,0.0148,22.94,66.73,2
0.6907,-0.0192,22.87,66.73,2
0.7087,0.018,22.85,66.73,2
0.7127,0.004,22.81,66.73,2
0.6952,-0.0176,22.82,66.73,2
0.6936,-0.0015,22.81,66.73,2
0.7059,0.0123,22.82,66.73,2
0.7277,0.0218,22.82,66.73,2
0.7551,0.0274,22.8,66.74,2
0.7473,-0.0077,22.75,66.74,2
0.7583,0.011,22.72,66.74,2
0.7444,-0.0139,22.73,66.74,2
0.7298,-0.0146,22.75,66.75,2
0.7266,-0.0032,22.8,66.75,2
0.7341,0.0074,22.77,66.75,2
0.7411,0.007,22.8,66.75,2
0.7564,0.0153,22.82,66.75,2
0.7751,0.0187,22.88,66.76,2
0.7688,-0.0063,22.97,66.76,2
0.7229,-0.0459,22.97,66.76,2
0.7241,0.0012,23.01,66.76,2
0.7181,-0.006,22.96,66.76,2
0.7406,0.0225,22.98,66.76,2
0.7079,-0.0327,22.99,66.76,2
0.7242,0.0164,23.03,66.77,2
0.7474,0.0231,23.07,66.77,2
0.7739,0.0266,23.12,66.77,2
0.7904,0.0165,23.09,66.78,2
0.7409,-0.0496,23.07,66.78,2
0.7287,-0.0122,23.03,66.78,2
0.7451,0.0164,23.02,66.78,2
0.7168,-0.0284,23.11,66.78,2
0.7348,0.0181,23.09,66.78,2
0.7356,0.0008,23.03,66.78,2
0.7493,0.0136,22.94,66.78,2
0.7251,-0.0242,22.93,66.78,2
0.6946,-0.0305,22.85,66.78,2
0.7157,0.0211,22.94,66.78,2
0.6902,-0.0255,22.91,66.78,2
0.6997,0.0095,22.91,66.78,2
0.7224,0.0227,22.91,66.78,2
0.7547,0.0323,22.97,66.78,2
0.7209,-0.0339,23.02,66.78,2
0.6854,-0.0355,23.05,66.78,2
0.6994,0.014,23.02,66.78,2
0.7258,0.0264,22.98,66.78,2
0.751,0.0252,22.96,66.79,2
0.7227,-0.0283,22.97,66.79,2
0.7371,0.0144,22.89,66.79,2
0.6971,-0.0401,22.87,66.79,2
0.7134,0.0163,22.81,66.79,2
0.7201,0.0067,22.81,66.79,2
0.6555,-0.0646,22.72,66.78,2
0.6636,0.0082,22.71,66.78,2
0.6559,-0.0078,22.77,66.78,2
0.6562,0.0003,22.8,66.77,2
0.6833,0.0271,22.81,66.77,2
0.6682,-0.0151,22.82,66.77,2
0.6594,-0.0088,22.84,66.77,2
0.6944,0.035,22.86,66.77,2
0.7293,0.0349,22.85,66.77,2
0.7108,-0.0185,22.84,66.77,2
0.6929,-0.0179,22.86,66.77,2
0.702,0.0091,22.99,66.77,2
0.7321,0.0301,23.05,66.77,2
0.7491,0.017,23.01,66.77,2
0.7608,0.0118,22.96,66.77,2
0.7547,-0.0061,22.99,66.78,2
0.7506,-0.0041,23.04,66.78,2
0.7305,-0.0201,22.98,66.78,2
0.7288,-0.0017,22.99,66.78,2
0.7172,-0.0116,23.04,66.78,2
0.7142,-0.003,23.05,66.78,2
0.7254,0.0112,23.04,66.78,2
0.6956,-0.0299,22.94,66.78,2
0.7039,0.0084,22.86,66.78,2
0.7061,0.0021,22.9,66.78,2
0.7498,0.0438,22.93,66.78,2
0.762,0.0121,22.92,66.78,2
0.7468,-0.0152,22.9,66.79,2
0.7535,0.0067,22.8,66.79,2
0.7401,-0.0134,22.79,66.79,2
0.7592,0.0191,22.8,66.79,2
0.7665,0.0073,22.92,66.79,2
0.7521,-0.0144,22.98,66.8,2
0.749,-0.0031,22.92,66.8,2
0.7474,-0.0016,22.92,66.8,2
0.7639,0.0165,22.98,66.8,2
0.7684,0.0045,23.01,66.8,2
