OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.6509,-0.017,23.06,66.69,2
0.2586,0.0547,28.03,68.35,0
0.707,0.0231,22.92,66.47,2
0.5513,0.0259,23.04,66.61,2
0.1251,-0.0555,28.03,68.56,0
0.3967,0.0227,26.09,68.17,1
0.5399,0.0103,22.55,66.5,2
0.3313,0.0606,27.88,68.55,0
0.5088,0.0338,22.96,66.57,2
0.699,-0.0099,22.91,66.7,2
0.3129,0.0158,28.37,68.68,1
0.676,-0.0341,22.85,66.8,2
0.0679,-0.0177,28.08,68.51,0
0.2247,0.0398,28.65,68.78,0
0.6698,0.0105,22.94,66.65,2
0.3368,-0.1465,23.43,66.9,1
0.6172,-0.0054,22.8,66.44,2
0.2818,0.0635,27.05,67.73,1
0.2442,-0.1095,25.82,67.36,0
0.7393,0.0162,22.91,66.85,2
0.1698,0.1051,28.08,68.49,0
0.3876,0.0095,24.11,66.84,1
0.5952,0.0291,23.32,66.62,2
0.5889,0.0263,22.76,65.93,2
0.5557,-0.0211,22.61,66.55,2
0.3504,-0.0109,26.54,68.45,1
0.71,0.0122,22.99,66.85,2
0.7293,0.0091,23.04,66.52,2
0.7306,0.015,23.14,66.86,2
0.2902,0.0434,27.8,68.58,1
0.3453,0.0262,26.55,68.36,1
0.4998,0.05,23.35,66.71,2
0.8283,0.0211,23.06,66.87,2
0.79,0.017,23.04,66.85,2
0.6378,0.0034,22.83,66.55,2
0.325,0.0297,28.14,68.59,1
0.2003,0.1,28.13,68.7,0
0.6707,-0.0329,23.0,66.82,2
0.2416,-0.1219,26.65,67.5,0
0.3602,0.0549,27.04,68.32,1
0.4538,0.0211,26.52,68.42,2
0.7132,0.0054,23.09,66.86,2
0.2271,0.0953,27.5,68.25,0
0.4906,0.0044,23.43,66.96,2
0.7544,0.0326,22.82,66.69,2
0.2501,0.0422,27.64,68.59,0
0.0812,-0.0626,28.53,68.74,0
0.2904,0.056,27.61,68.68,1
0.1171,-0.038,27.29,68.55,0
0.444,-0.008,24.34,66.73,2
0.214,0.1049,28.03,68.71,0
0.8166,0.0074,22.98,66.87,2
0.7185,0.0225,23.04,66.85,2
0.5328,-0.0203,23.52,63.98,2
0.6292,-0.0196,23.14,66.63,2
0.5957,-0.0031,22.62,66.57,2
0.115,0.115,27.48,60.28,1
0.3708,0.0279,24.63,67.3,1
0.6903,0.0302,22.79,66.85,2
0.7573,-0.0007,23.01,66.81,2
0.4453,0.0297,26.69,68.3,1
0.6769,0.0243,22.81,66.59,2
0.0546,-0.0157,28.33,68.67,0
0.3534,-0.0053,27.5,68.65,1
0.7801,0.0165,22.84,66.86,2
0.7554,-0.0035,22.78,66.79,2
0.64,-0.0105,23.05,66.63,2
0.616,-0.006,22.84,66.71,2
0.1458,-0.0696,27.97,68.32,0
0.5738,0.0082,22.74,66.61,2
0.6146,-0.0147,22.66,66.67,2
0.6516,0.0335,22.81,66.73,2
0.6016,-0.0216,22.97,66.67,2
0.6747,0.0046,22.79,66.58,2
0.4801,0.011,25.3,67.59,2
0.4612,0.0228,23.41,66.61,2
0.765,0.0123,22.9,66.84,2
0.5888,-0.0099,22.53,66.41,2
0.3447,0.0042,26.4,68.08,1
0.4521,0.0153,25.37,68.09,2
0.5872,0.0092,22.79,65.24,2
0.7518,0.0232,22.98,66.77,2
0.6593,-0.024,23.03,66.78,2
0.72,-0.0107,23.02,66.82,2
0.2535,0.0899,27.63,68.03,0
0.3223,0.0477,27.09,68.05,0
0.6364,-0.0023,22.85,66.63,2
0.4015,0.0561,26.12,68.06,1
0.4687,0.0122,23.59,66.73,2
0.6399,0.0193,22.81,66.76,2
0.4415,0.0408,26.49,67.73,1
0.0932,-0.0528,28.81,68.83,0
0.6485,0.0153,22.63,66.61,2
0.5057,-0.0032,23.28,66.61,2
0.6357,-0.0276,22.78,66.55,2
0.7358,0.0334,23.0,66.85,2
0.7168,0.0171,22.88,66.79,2
0.5454,0.0385,22.82,64.13,2
0.6496,0.0065,23.07,66.68,2
0.2959,0.0759,27.18,68.57,1
0.7125,0.0373,23.12,66.82,2
0.6364,-0.0139,22.73,66.58,2
0.5598,0.0093,22.82,66.59,2
0.1613,-0.0633,27.14,68.34,0
0.3616,0.035,25.53,67.53,1
0.6881,0.0239,22.88,66.83,2
0.2698,-0.1355,27.45,68.64,0
0.0674,-0.0358,28.85,68.72,0
0.2136,-0.1146,28.19,68.57,1
0.4386,0.0335,26.99,68.18,1
0.4553,0.0121,25.37,67.3,2
0.1549,0.0904,27.3,68.56,0
0.7441,0.0341,22.82,66.8,2
0.7361,0.0074,22.9,66.85,2
0.7911,0.0172,23.45,66.85,2
0.6534,0.0109,23.11,66.68,2
0.2945,0.0952,27.43,68.62,1
0.7497,-0.0132,22.81,66.89,2
0.0972,-0.0606,28.88,68.75,0
