OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.4,-0.01,34.96,54.5,1
0.69,0.01,20.52,62.66,1
0.5,0.02,21.67,76.29,1
0.54,-0.03,28.3,70.94,1
0.0,-0.0,29.13,68.74,0
0.0,-0.0,34.79,74.24,0
0.0,-0.0,29.71,72.48,0
0.53,0.01,20.74,77.9,1
0.33,0.03,24.95,56.47,1
0.52,-0.01,34.79,75.26,1
0.0,-0.0,24.82,51.46,0
0.6,-0.02,32.47,68.12,2
0.45,-0.04,27.89,70.15,1
0.0,-0.0,29.17,75.98,0
0.0,0.0,28.45,60.97,0
0.0,-0.0,25.66,67.35,0
0.0,-0.0,20.04,58.93,0
0.22,0.0,23.32,73.95,0
0.53,0.0,28.23,48.03,1
0.0,-0.0,27.43,66.82,0
0.45,-0.03,30.66,62.77,1
0.0,-0.0,30.33,75.21,0
0.0,0.0,30.47,74.46,0
0.29,-0.0,22.66,64.37,0
0.41,-0.01,29.02,75.03,1
0.77,-0.02,34.54,70.7,2
0.0,-0.0,25.13,71.22,0
0.48,0.0,24.99,48.93,1
0.42,-0.02,28.58,50.24,1
0.0,0.0,20.93,61.74,0
0.51,0.02,26.25,77.4,1
0.0,0.0,31.33,66.98,0
0.0,-0.0,32.93,78.42,0
0.77,0.0,21.58,58.91,1
0.59,-0.02,34.51,51.03,2
0.65,-0.01,30.38,51.05,2
0.0,-0.0,21.8,71.71,0
0.0,0.0,33.5,62.89,0
0.65,0.01,35.17,70.97,2
0.3,-0.01,23.2,48.24,0
0.0,-0.0,34.27,64.1,0
0.34,0.01,23.53,59.67,1
0.0,-0.0,26.7,53.5,0
0.78,-0.05,28.24,63.36,2
0.0,-0.0,21.31,63.01,0
0.56,0.0,30.24,72.18,2
0.0,0.01,34.08,69.17,0
0.41,-0.02,26.45,49.32,1
0.48,-0.01,23.53,50.41,1
0.0,-0.0,26.97,58.09,0
0.74,-0.02,33.48,68.07,2
0.62,0.02,32.45,79.05,2
0.67,0.0,30.49,59.36,2
0.71,-0.04,22.09,51.15,1
0.28,-0.01,23.01,79.92,0
0.45,-0.01,22.52,48.1,1
0.0,-0.0,24.47,56.54,0
0.0,0.0,34.71,49.09,0
0.0,0.0,28.86,66.37,0
0.0,-0.0,33.76,76.79,0
0.3,0.02,33.16,50.12,1
0.0,0.0,25.83,46.28,0
0.79,0.04,27.6,64.47,2
